Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","534.020133","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","1.492959","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","6723.928582","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","17.248839","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","4521.752217","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","9.831055","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","012","Algérie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","4134.936055","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","012","Algérie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","4.228057","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","276","Allemagne","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","44670.222282","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","276","Allemagne","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","6.063881","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","020","Andorre","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","40632.206416","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","020","Andorre","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2017","2017","%","1.824543","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","024","Angola","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","4042.681382","X","Ciffre de sources internationales",""
