pays,dispo_alimentaire,dispo_proteine,production,importations,dispo_interieure,population,croissance_population_5ans,PIB_habitant,stabilite_politique,distance_paris_km,PIB_total
Afghanistan,1.53,0.54,28.0,29.0,57.0,36296113,16.47788916638341,534.020133,-2.79,5594.605337570113,19382855092
Afrique du Sud,35.69,14.11,1667.0,514.0,2118.0,57009756,7.9062802405285,6723.928582,-0.28,8653.502815359427,383329527821
Albanie,16.36,6.26,13.0,38.0,47.0,2884169,-1.0269737167203827,4521.752217,0.37,1603.86806504289,13041497570
Algérie,6.38,1.97,275.0,2.0,277.0,41389189,10.713955835795067,4134.936055,-0.92,1347.656703292012,171141649883
Allemagne,19.47,7.96,1514.0,842.0,1739.0,82658409,2.0819146440448986,44670.222282,0.57,879.6993161290118,3692369503506
Angola,10.56,3.6,42.0,277.0,319.0,29816766,18.75437287126526,4042.681382,-0.39,6480.3737422685235,120539684780
Antigua-et-Barbuda,54.1,17.77,0.0,7.0,7.0,95426,5.549226293842427,16110.3124,0.73,6710.617338753858,1537342671
Arabie saoudite,43.36,15.57,616.0,722.0,1435.0,33101179,13.53556006023,20910.482962,-0.65,4681.174751554409,692161639502
Argentine,42.24,13.53,2161.0,8.0,1962.0,43937140,5.225562825761852,14609.78337,0.16,11025.155346617466,641912097297
Arménie,16.06,5.44,11.0,35.0,47.0,2944791,2.099586926719538,4041.995072,-0.63,3438.1913347097716,11902830710
Australie,47.65,16.6,1269.0,16.0,1171.0,24584620,7.337913970115545,57489.804356,0.88,16916.486472109395,1413364993967
Autriche,18.2,7.49,148.0,110.0,173.0,8819901,3.736362249561203,47429.535841,1.03,1036.585183220904,418323810594
Azerbaïdjan,13.11,4.45,104.0,27.0,129.0,9845320,6.267105263725982,4057.624007,-0.75,3818.84655664,39948606789
Bahamas,43.17,14.61,6.0,24.0,26.0,381755,4.997744675233234,31303.530973,0.98,7225.009573687491,11950279467
Bangladesh,1.5,0.47,249.0,0.0,250.0,159685424,5.747917302666225,1785.836613,-1.25,7916.293741425071,285172076742
Barbade,46.78,15.33,15.0,2.0,17.0,286232,0.8921364394203758,17881.563253,0.95,6879.85870466928,5118275613
Belgique,12.65,4.57,463.0,338.0,152.0,11419748,3.0165015870484293,44162.256256,0.42,264.2679194059304,504321837555
Belize,25.69,8.26,20.0,0.0,19.0,375769,11.174260355029586,6049.391948,0.03,8663.451328955143,2273173963
Bolivie (État plurinational de),36.0,11.43,533.0,1.0,429.0,11192855,7.855120934590751,3280.008213,-0.28,10046.308448962478,36712656327
Bosnie-Herzégovine,16.7,5.66,61.0,10.0,55.0,3351525,-7.030484564096476,5327.393184,-0.35,1348.3274105559167,17854891441
Botswana,3.39,1.19,5.0,3.0,7.0,2205080,8.115687924234491,6705.339802,1.01,8470.071938478146,14785810691
Brésil,48.03,15.68,14201.0,3.0,9982.0,207833823,4.288544248873583,9896.717511,-0.48,8711.176964354978,2056872635462
Bulgarie,22.06,8.74,107.0,108.0,157.0,7102444,-3.1573344052354493,8237.83476,0.32,1761.3653942901976,58508760064
Burkina Faso,2.27,0.77,46.0,0.0,46.0,19193234,15.822466774238498,711.184631,-0.93,4061.307606375351,13649933040
Bélarus,27.98,9.41,463.0,21.0,265.0,9450231,0.352392884137977,5637.218192,-0.06,1831.1912518879276,53273014112
Bénin,14.4,4.98,18.0,123.0,161.0,11175198,14.86187680056292,1095.274133,0.03,4695.332081186396,12239905301
Cabo Verde,17.62,6.52,1.0,12.0,10.0,537498,6.3857412887072345,3534.343583,0.76,4441.339858239353,1899702607
Cambodge,2.34,0.74,28.0,10.0,38.0,16009409,8.314731063064775,1400.899265,0.09,9951.125467839627,22427569301
Cameroun,3.16,1.07,81.0,0.0,82.0,24566073,14.339166866222037,1479.862223,-1.09,5063.510303806707,36354403400
Canada,39.02,13.86,1417.0,182.0,1433.0,36732095,5.183160887268008,45125.109808,1.09,5665.112925463723,1657539820353
Chili,36.36,12.21,712.0,155.0,672.0,18470439,6.149831379799495,15081.989132,0.41,11627.957903406088,278570960261
Chine - RAS de Hong-Kong,53.51,22.26,24.0,907.0,280.0,7306322,3.6821285204392087,45737.483211,0.82,9643.241463814426,334172779809
Chine - RAS de Macao,34.47,11.9,3.0,23.0,19.0,622585,10.379778703245696,78896.274749,1.41,9614.22105001268,49119637215
"Chine, continentale",12.33,3.96,18236.0,452.0,18161.0,1421021791,2.6596748847139597,8729.13693,-0.23,8238.778386006878,12404293794153
Chypre,25.08,9.58,25.0,14.0,38.0,1179678,3.9321754360616223,18987.256286,0.53,2954.5723132223256,22398848521
Colombie,31.99,9.57,1564.0,78.0,1643.0,48909839,6.151007782450617,6450.319585,-0.78,8623.369686356267,315484092401
Congo,21.53,7.45,7.0,104.0,110.0,5110695,13.314179706926458,2227.732609,-0.53,6016.7281913954275,11385261906
Costa Rica,26.52,7.93,133.0,17.0,134.0,4949954,5.587755972696246,12118.133618,0.6,8925.517400266577,59984203975
